,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s]
0,000,  2024-04-23 12:00,  2024-04-23 20:00,349,4,1.76,228,14,0.76,228,9.0,1.59,228,14.0
1,001,  2024-04-23 13:00,  2024-04-23 21:00,16,6,1.74,228,14,0.74,228,9.0,1.58,228,14.0
2,002,  2024-04-23 14:00,  2024-04-23 22:00,25,8,1.74,228,14,0.73,228,9.0,1.58,228,14.0
3,003,  2024-04-23 15:00,  2024-04-23 23:00,11,5,1.72,228,14,0.72,228,9.0,1.56,228,14.0
4,004,  2024-04-23 16:00,  2024-04-24 00:00,291,2,1.71,228,14,0.72,228,9.0,1.55,228,14.0
5,005,  2024-04-23 17:00,  2024-04-24 01:00,295,1,1.69,228,13,0.72,228,9.0,1.53,228,14.0
6,006,  2024-04-23 18:00,  2024-04-24 02:00,112,1,1.66,228,13,0.71,228,9.0,1.5,228,14.0
7,007,  2024-04-23 19:00,  2024-04-24 03:00,128,2,1.63,228,13,0.71,228,9.0,1.47,228,14.0
8,008,  2024-04-23 20:00,  2024-04-24 04:00,114,2,1.6,228,13,0.7,228,9.0,1.44,228,14.0
9,009,  2024-04-23 21:00,  2024-04-24 05:00,106,4,1.57,228,13,0.7,228,9.0,1.4,228,14.0
