,time[hrs],time[UTC],time[WST],wind_dir[degrees],wind_spd[kn],seasw_ht[m],seasw_dir[degree],seasw_pd[s],sea_ht[m],sea_dir[degree],sea_pd[s],sw1_ht[m],sw1_dir[degree],sw1_pd[s],sw2_ht[m],sw2_dir[degree],sw2_pd[s],sw3_ht[m],sw3_dir[degree],sw3_pd[s]
0,000,  2024-04-28 12:00,  2024-04-28 20:00,9,9,0.58,312,18,0.39,36,5,0.17,300,13,0.33,300,18,0.34,312,18
1,001,  2024-04-28 13:00,  2024-04-28 21:00,356,6,0.59,312,18,0.39,36,5,0.18,300,13,0.34,300,18,0.34,312,18
2,002,  2024-04-28 14:00,  2024-04-28 22:00,325,3,0.59,312,18,0.39,36,5,0.18,300,13,0.35,312,18,0.34,312,18
3,003,  2024-04-28 15:00,  2024-04-28 23:00,255,3,0.59,312,18,0.39,36,5,0.19,300,13,0.35,312,18,0.34,312,18
4,004,  2024-04-28 16:00,  2024-04-29 00:00,222,4,0.59,312,18,0.39,36,5,0.2,300,13,0.36,312,18,0.34,312,18
5,005,  2024-04-28 17:00,  2024-04-29 01:00,196,6,0.59,312,18,0.38,36,5,0.2,300,13,0.36,312,18,0.34,312,18
6,006,  2024-04-28 18:00,  2024-04-29 02:00,179,7,0.59,312,18,0.38,36,6,0.21,36,13,0.37,312,18,0.33,312,18
7,007,  2024-04-28 19:00,  2024-04-29 03:00,181,8,0.59,312,18,0.38,36,6,0.21,36,13,0.37,312,18,0.33,312,18
8,008,  2024-04-28 20:00,  2024-04-29 04:00,181,9,0.59,312,18,0.37,36,6,0.22,36,13,0.37,312,18,0.32,312,18
9,009,  2024-04-28 21:00,  2024-04-29 05:00,168,9,0.58,312,18,0.37,36,6,0.22,36,13,0.37,312,18,0.32,312,18
10,010,  2024-04-28 22:00,  2024-04-29 06:00,160,9,0.58,312,18,0.37,36,6,0.22,36,13,0.38,300,18,0.31,312,18
11,011,  2024-04-28 23:00,  2024-04-29 07:00,159,9,0.58,312,17,0.36,36,6,0.22,36,13,0.38,300,17,0.31,312,17
12,012,  2024-04-29 00:00,  2024-04-29 08:00,159,9,0.57,312,17,0.35,36,6,0.22,36,13,0.38,300,17,0.31,312,17
13,013,  2024-04-29 01:00,  2024-04-29 09:00,149,9,0.57,312,17,0.35,36,6,0.22,36,13,0.39,300,17,0.3,312,17
14,014,  2024-04-29 02:00,  2024-04-29 10:00,119,8,0.57,312,17,0.34,36,6,0.23,36,13,0.39,300,17,0.3,312,17
15,015,  2024-04-29 03:00,  2024-04-29 11:00,95,10,0.57,312,17,0.34,36,6,0.23,36,13,0.4,300,17,0.3,312,17
16,016,  2024-04-29 04:00,  2024-04-29 12:00,86,13,0.59,312,17,0.37,36,6,0.23,36,13,0.4,300,17,0.29,312,17
17,017,  2024-04-29 05:00,  2024-04-29 13:00,82,14,0.68,300,17,0.5,48,6,0.23,36,13,0.4,300,17,0.29,312,17
18,018,  2024-04-29 06:00,  2024-04-29 14:00,78,14,0.73,300,17,0.57,48,6,0.23,36,13,0.4,300,17,0.28,312,17
19,019,  2024-04-29 07:00,  2024-04-29 15:00,70,12,0.74,300,16,0.58,48,6,0.24,36,13,0.4,300,17,0.28,312,17
20,020,  2024-04-29 08:00,  2024-04-29 16:00,52,9,0.73,300,16,0.57,48,4,0.24,36,13,0.4,300,17,0.28,312,17
21,021,  2024-04-29 09:00,  2024-04-29 17:00,26,7,0.72,300,16,0.56,36,5,0.24,36,13,0.4,300,17,0.27,312,17
22,022,  2024-04-29 10:00,  2024-04-29 18:00,359,7,0.71,300,16,0.54,36,5,0.25,36,13,0.4,300,17,0.26,312,17
23,023,  2024-04-29 11:00,  2024-04-29 19:00,353,6,0.7,300,16,0.53,36,5,0.25,36,13,0.39,300,17,0.26,312,17
24,024,  2024-04-29 12:00,  2024-04-29 20:00,359,7,0.69,300,16,0.52,36,6,0.26,36,13,0.39,300,17,0.25,312,17
25,025,  2024-04-29 13:00,  2024-04-29 21:00,14,7,0.68,300,16,0.51,36,6,0.26,36,13,0.38,300,17,0.24,312,17
26,026,  2024-04-29 14:00,  2024-04-29 22:00,18,6,0.67,300,16,0.5,36,6,0.26,36,13,0.38,300,17,0.24,312,17
27,027,  2024-04-29 15:00,  2024-04-29 23:00,20,6,0.66,300,16,0.49,36,6,0.26,36,13,0.38,300,17,0.23,312,17
28,028,  2024-04-29 16:00,  2024-04-30 00:00,15,6,0.65,300,16,0.48,36,6,0.26,36,13,0.37,300,17,0.22,312,17
29,029,  2024-04-29 17:00,  2024-04-30 01:00,130,4,0.65,300,16,0.48,36,6,0.27,36,13,0.37,300,15,0.21,312,16
30,030,  2024-04-29 18:00,  2024-04-30 02:00,168,14,0.64,300,16,0.48,36,6,0.27,36,13,0.36,300,15,0.21,312,16
31,031,  2024-04-29 19:00,  2024-04-30 03:00,163,12,0.64,300,15,0.47,48,6,0.28,36,13,0.36,300,15,0.2,312,16
32,032,  2024-04-29 20:00,  2024-04-30 04:00,159,11,0.64,300,15,0.47,48,6,0.29,36,13,0.35,300,15,0.19,312,16
33,033,  2024-04-29 21:00,  2024-04-30 05:00,156,9,0.64,300,15,0.48,48,6,0.3,36,13,0.35,300,15,0.19,312,16
34,034,  2024-04-29 22:00,  2024-04-30 06:00,149,11,0.66,300,15,0.5,48,6,0.31,36,7,0.34,300,15,0.18,312,16
35,035,  2024-04-29 23:00,  2024-04-30 07:00,135,13,0.72,300,15,0.58,48,7,0.31,36,7,0.34,300,15,0.18,312,16
36,036,  2024-04-30 00:00,  2024-04-30 08:00,116,18,0.8,300,15,0.68,48,7,0.32,36,7,0.33,300,15,0.17,312,16
37,037,  2024-04-30 01:00,  2024-04-30 09:00,108,20,0.94,300,15,0.84,48,3,0.32,36,7,0.33,300,15,0.16,312,16
38,038,  2024-04-30 02:00,  2024-04-30 10:00,101,20,1.03,48,15,0.94,48,4,0.31,36,7,0.32,300,15,0.16,312,16
39,039,  2024-04-30 03:00,  2024-04-30 11:00,88,19,1.05,48,15,0.97,48,4,0.31,36,7,0.32,300,15,0.16,312,16
40,040,  2024-04-30 04:00,  2024-04-30 12:00,82,17,1.0,48,15,0.92,48,4,0.3,36,7,0.31,300,15,0.15,312,16
41,041,  2024-04-30 05:00,  2024-04-30 13:00,78,15,0.93,48,15,0.85,48,6,0.3,36,7,0.3,300,15,0.15,312,16
